DATA;CHUVA (mm);NÍVEL (m);CHUVA CORRIGIDA;NÍVEL CORRIGIDO;COMENTARIOS CHUVA;COMENTARIOS NÍVEL
1/1/2019 00:00;0;2,42;0;;;
1/1/2019 00:15;0;2,38;0;;;
1/1/2019 00:30;0;2,35;0;;;
1/1/2019 00:45;0;2,32;0;;;
1/1/2019 01:00;0;2,3;0;;;
1/1/2019 01:15;0;2,27;0;;;
1/1/2019 01:30;0;2,25;0;;;
1/1/2019 01:45;0;2,22;0;;;
1/1/2019 02:00;0;2,2;0;;;
1/1/2019 02:15;0;2,17;0;;;
1/1/2019 02:30;0;2,15;0;;;
1/1/2019 02:45;0;2,12;0;;;
1/1/2019 03:00;0;2,09;0;;;
1/1/2019 03:15;0;2,06;0;;;
1/1/2019 03:30;0;2,04;0;;;
1/1/2019 03:45;0;2,01;0;;;
1/1/2019 04:00;0;1,98;0;;;
1/1/2019 04:15;0;1,95;0;;;
1/1/2019 04:30;0;1,93;0;;;
1/1/2019 04:45;0;1,9;0;;;
1/1/2019 05:00;0;1,87;0;;;
1/1/2019 05:15;0;1,84;0;;;
1/1/2019 05:30;0;1,82;0;;;
1/1/2019 05:45;0;1,79;0;;;
1/1/2019 06:00;0;1,76;0;;;
1/1/2019 06:15;0;1,73;0;;;
1/1/2019 06:30;0;1,71;0;;;
1/1/2019 06:45;0;1,69;0;;;
1/1/2019 07:00;0;1,67;0;;;
1/1/2019 07:15;0;1,66;0;;;
1/1/2019 07:30;0;1,64;0;;;
1/1/2019 07:45;0;1,63;0;;;
1/1/2019 08:00;0;1,61;0;;;
1/1/2019 08:15;0;1,6;0;;;
1/1/2019 08:30;0;1,59;0;;;
1/1/2019 08:45;0;1,58;0;;;
1/1/2019 09:00;0;1,56;0;;;
1/1/2019 09:15;0;1,56;0;;;
1/1/2019 09:30;0,200000000000003;1,55;0,200000000000003;;;
1/1/2019 09:45;0;1,54;0;;;
1/1/2019 10:00;0;1,53;0;;;
1/1/2019 10:15;0;1,52;0;;;
1/1/2019 10:30;0;1,52;0;;;
1/1/2019 10:45;0;1,51;0;;;
1/1/2019 11:00;0;1,51;0;;;
1/1/2019 11:15;0;1,51;0;;;
1/1/2019 11:30;0;1,51;0;;;
1/1/2019 11:45;0;1,51;0;;;
1/1/2019 12:00;0;1,51;0;;;
1/1/2019 12:15;0;1,51;0;;;
1/1/2019 12:30;0;1,52;0;;;
1/1/2019 12:45;0;1,52;0;;;
1/1/2019 13:00;0;1,53;0;;;
1/1/2019 13:15;0;1,53;0;;;
1/1/2019 13:30;0;1,55;0;;;
1/1/2019 13:45;0;1,56;0;;;
1/1/2019 14:00;0;1,58;0;;;
1/1/2019 14:15;0;1,59;0;;;
1/1/2019 14:30;0;1,61;0;;;
1/1/2019 14:45;0;1,62;0;;;
1/1/2019 15:00;0;1,64;0;;;
1/1/2019 15:15;0;1,65;0;;;
1/1/2019 15:30;0;1,66;0;;;
1/1/2019 15:45;0;1,67;0;;;
1/1/2019 16:00;0;1,68;0;;;
1/1/2019 16:15;0;1,69;0;;;
1/1/2019 16:30;0;1,7;0;;;
1/1/2019 16:45;0;1,71;0;;;
1/1/2019 17:00;0;1,72;0;;;
1/1/2019 17:15;3,4;1,73;3,4;;;
1/1/2019 17:30;18,4;1,74;18,4;;;
1/1/2019 17:45;3,2;1,75;3,2;;;
1/1/2019 18:00;0,400000000000006;1,76;0,400000000000006;;;
1/1/2019 18:15;0,599999999999994;1,76;0,599999999999994;;;
1/1/2019 18:30;0,599999999999994;1,78;0,599999999999994;;;
1/1/2019 18:45;0;1,88;0;;;
1/1/2019 19:00;0,200000000000003;2,04;0,200000000000003;;;
1/1/2019 19:15;0;2,14;0;;;
1/1/2019 19:30;0;2,21;0;;;
1/1/2019 19:45;0;2,3;0;;;
1/1/2019 20:00;0;2,37;0;;;
1/1/2019 20:15;0;2,39;0;;;
1/1/2019 20:30;0;2,39;0;;;
1/1/2019 20:45;0;2,38;0;;;
1/1/2019 21:00;0;2,36;0;;;
1/1/2019 21:15;0;2,33;0;;;
1/1/2019 21:30;0;2,3;0;;;
1/1/2019 21:45;0;2,28;0;;;
1/1/2019 22:00;0;2,27;0;;;
1/1/2019 22:15;0;2,25;0;;;
1/1/2019 22:30;0;2,23;0;;;
1/1/2019 22:45;0;2,21;0;;;
1/1/2019 23:00;0;2,2;0;;;
1/1/2019 23:15;0;2,18;0;;;
1/1/2019 23:30;0;2,17;0;;;
1/1/2019 23:45;0;2,15;0;;;
2/1/2019 00:00;0;2,14;0;;;
2/1/2019 00:15;0;2,12;0;;;
2/1/2019 00:30;0;2,11;0;;;
2/1/2019 00:45;0;2,09;0;;;
2/1/2019 01:00;0;2,07;0;;;
2/1/2019 01:15;0;2,05;0;;;
2/1/2019 01:30;0;2,03;0;;;
2/1/2019 01:45;0;2,02;0;;;
2/1/2019 02:00;0;2;0;;;
2/1/2019 02:15;0;1,98;0;;;
2/1/2019 02:30;0;1,96;0;;;
2/1/2019 02:45;0;1,94;0;;;
2/1/2019 03:00;0;1,92;0;;;
2/1/2019 03:15;0;1,9;0;;;
2/1/2019 03:30;0;1,88;0;;;
2/1/2019 03:45;0;1,86;0;;;
2/1/2019 04:00;0;1,85;0;;;
2/1/2019 04:15;0;1,83;0;;;
2/1/2019 04:30;0;1,81;0;;;
2/1/2019 04:45;0;1,79;0;;;
2/1/2019 05:00;0;1,77;0;;;
2/1/2019 05:15;0;1,76;0;;;
2/1/2019 05:30;0;1,74;0;;;
2/1/2019 05:45;0;1,73;0;;;
2/1/2019 06:00;0;1,71;0;;;
2/1/2019 06:15;0;1,7;0;;;
2/1/2019 06:30;0;1,68;0;;;
2/1/2019 06:45;0;1,67;0;;;
2/1/2019 07:00;0;1,66;0;;;
2/1/2019 07:15;0;1,64;0;;;
2/1/2019 07:30;0;1,63;0;;;
2/1/2019 07:45;0;1,62;0;;;
2/1/2019 08:00;0;1,61;0;;;
2/1/2019 08:15;0;1,6;0;;;
2/1/2019 08:30;0;1,59;0;;;
2/1/2019 08:45;0;1,58;0;;;
